Estacao,Data,Dia,Mes,Ano,Insolacao,TempMaxima,TempMinima,Temp Comp Media,Umidade Relativa Media,Precipitacao
82191,03/08/2018,3,8,18,2.8,31.1,23.3,25.56,93.75,0
82191,04/08/2018,4,8,18,8.4,33.3,22.7,26.12,86,22.4
82191,05/08/2018,5,8,18,6.7,33.3,22.2,25.84,88,15.8
82191,06/08/2018,6,8,18,8.1,33.9,23.1,27.04,81.5,8.6
82191,07/08/2018,7,8,18,8.1,33.7,23.9,27.4,84,0.4
82191,08/08/2018,8,8,18,0,33.8,23.5,26.6,82.25,2.2
82191,09/08/2018,9,8,18,5.9,33.2,22.7,25.74,89.5,14.5
82191,10/08/2018,10,8,18,6.1,34.1,22.2,25.9,89.5,11
82191,11/08/2018,11,8,18,7.8,33.6,23.1,26.88,86.25,2
82191,12/08/2018,12,8,18,8.7,33.7,23.1,27.72,76.75,0
82191,13/08/2018,13,8,18,9.4,33.5,22.8,27.26,77.25,0
82191,14/08/2018,14,8,18,9.7,33.6,22.5,27.36,75.25,0
82191,15/08/2018,15,8,18,9.5,33.7,22.5,26.6,82.75,0
82191,16/08/2018,16,8,18,7.2,33.3,22.1,26.44,85.5,14.2
82191,17/08/2018,17,8,18,7.9,33.7,22.1,26.6,81,2.5
82191,18/08/2018,18,8,18,7.5,33.4,23.8,26.56,85.5,2.8
82191,19/08/2018,19,8,18,9,33.1,23.5,27.08,79.5,14
82191,20/08/2018,20,8,18,8.7,33.5,23.1,27.2,78.75,0
82191,21/08/2018,21,8,18,9.4,33.4,22.2,26.7,83.5,0
82191,22/08/2018,22,8,18,0.9,34,22.5,27.18,79.5,6.8
82191,23/08/2018,23,8,18,8.1,33.7,22.9,26.32,85.25,0
82191,24/08/2018,24,8,18,8.2,33.5,22.9,26.26,87.25,6.2
82191,25/08/2018,25,8,18,7.1,33.1,23.1,26.28,87.5,13.7
82191,26/08/2018,26,8,18,8.9,33.5,22.9,27.12,82,35
82191,27/08/2018,27,8,18,7.7,33.1,23.4,27.22,85.75,0
82191,28/08/2018,28,8,18,7.3,33.7,23.3,26.96,86,0.4
82191,29/08/2018,29,8,18,8.5,34.1,22.4,26.64,84,0
82191,30/08/2018,30,8,18,6.8,34.1,22.7,27.32,78.75,0.6
82191,31/08/2018,31,8,18,8.1,34.9,23.6,27.48,81.25,0
82191,01/09/2018,1,9,18,8.9,34.5,23.1,27.98,77,0
82191,02/09/2018,2,9,18,9.4,34.7,23.7,27.64,85.5,0
82191,03/09/2018,3,9,18,6.8,33.9,22.5,27,83.25,8
82191,04/09/2018,4,9,18,9.4,34.1,23.7,27.68,80.5,0
82191,05/09/2018,5,9,18,8.3,34.3,23.1,30.6,86.5,0
82191,06/09/2018,6,9,18,7.7,34,22.1,27.64,74.5,36
